REGIAO,CONTAGEM
Lomba do Pinheiro,459
Restinga,397
Sarandi,376
Mário Quintana,291
Rubem Berta,256
Partenon,255
Santa Tereza,242
Vila São José,226
Vila Nova,224
Santa Rosa de Lima,223
Bom Jesus,215
Centro Histórico,165
Cristal,145
Coronel Aparício Borges,144
Jardim Carvalho,142
Hípica,141
Cavalhada,136
Cascata,131
Morro Santana,125
Passo das Pedras,121
Costa e Silva,120
Passo da Areia,120
Farrapos,117
Jardim Itu,106
Camaquã,94
Jardim Leopoldina,94
Vila João Pessoa,88
Petrópolis,87
Floresta,86
Teresópolis,82
Vila Jardim,81
Tristeza,81
Nonoai,73
Navegantes,71
Cristo Redentor,71
Ponta Grossa,70
Santana,66
Vila Ipiranga,65
Menino Deus,64
Humaitá,62
Rio Branco,60
Belém Velho,58
Agronomia,56
Campo Novo,55
Aberta dos Morros,52
Ipanema,52
Arquipélago,51
São Geraldo,49
Medianeira,49
São Sebastião,49
Azenha,45
Belém Novo,45
Lami,42
Glória,41
Jardim Sabará,40
Lageado,40
Chapéu do Sol,39
Jardim Botânico,39
Cidade Baixa,38
Santo Antônio,35
Espírito Santo,32
Guarujá,31
Independência,30
Jardim Lindóia,30
Serraria,28
São João,28
Parque Santa Fé,26
Anchieta,25
Bom Fim,23
Jardim Floresta,23
Praia de Belas,23
Santa Maria Goretti,21
Auxiliadora,21
Santa Cecília,20
Farroupilha,18
Jardim do Salso,18
Extrema,16
Vila Conceição,15
Jardim São Pedro,15
Vila Assunção,13
Boa Vista,12
Chácara das Pedras,11
Boa Vista do Sul,9
Jardim Europa,7
Moinhos de Vento,7
Três Figueiras,7
Mont Serrat,6
Higienópolis,4
Jardim Isabel,3
Sétimo Céu,3
São Caetano,1
Bela Vista,1
Pedra Redonda,0
Pitinga,0