distance;frequency
67.6711913324525;22
100.61268014471489;45
173.50708107965073;86
173.683724978892;63
274.6405321269692;34
355.2642527445878;11
372.72770482646195;142
377.1896440917378;41
396.5549151110888;15
406.9791368393455;26
419.36696702760497;101
424.1481790893432;119
425.8360281200292;57
446.66255320241487;30
456.0422902048071;19
456.93747891373334;10
486.78870790898765;5
513.3286535444169;3
515.6482963926376;5
516.2806873459092;47
519.4544566918498;9
528.4456351361207;15
560.3722830663488;5
565.4579428017496;37
598.3788296710916;13
600.7666931591892;12
611.5101469771598;10
635.4373133025302;30
657.7787780268958;17
659.2560954951851;25
661.619179050625;74
661.6480554028883;12
678.1221504215108;6
683.1891826415969;11
692.8857854266543;46
699.2650739435607;59
717.59167594751;9
717.7182279413862;54
720.2226004552429;15
764.1339331464108;12
770.2658548357507;5
780.7417340009075;10
785.8340054153449;46
820.6654502018204;34
843.4955572588403;41
849.6164599339226;14
853.9160599949046;47
872.4654121050971;9
874.6505606550274;9
878.7671182630932;14
898.2072106843104;8
905.9611271150218;5
935.0934863328833;23
941.9840659408541;17
953.6306250259859;37
955.2966921699357;6
962.5667452735514;44
962.8283162899589;13
965.342379329187;7
980.40006296469;12
993.4878681701881;32
1019.708910804026;8
1031.5379170653869;4
1038.4383169179562;44
1039.4985047322207;36
1049.1808596734738;5
1054.5090701666813;20
1067.2597869729238;2
1081.0853823114958;24
1081.1286825466598;5
1083.1267747808176;12
1084.9521289930165;13
1099.1481919575954;11
1102.1775379402582;10
1106.6290120487422;19
1137.3992915523638;5
1139.4291211947027;15
1145.808525105978;23
1166.1311775630284;10
1189.7499318210687;8
1192.504061939152;35
1214.2787351412658;11
1230.3894461406978;15
1249.9666054763072;11
1252.8871527279716;12
1260.2085351006801;4
1265.4091040504322;5
1270.6917530731669;9
1282.2879855941273;13
1286.2873338501493;4
1318.1514517879841;3
1320.7361296661925;6
1331.5158280504743;35
1338.9714177363244;42
1340.3856934294429;5
1341.932955685849;13
1344.748070224628;18
1349.8081240173478;12
1354.3983812515237;17
1367.3095426934224;35
1385.6424345160908;89
1395.6891396643425;12
1399.4286536238583;22
1399.492855650453;5
1407.7152133356838;38
1411.1004948487227;5
1424.4375558675852;3
1426.0421357971843;12
1436.529774866092;30
1442.2289829913618;3
1444.6453679114934;25
1447.1389860981135;2
1447.5206667587163;35
1449.585320128919;11
1452.1657246198365;8
1456.0823196299548;31
1471.3588707750516;8
1480.0546465120426;29
1482.6430767305199;6
1483.1898323800967;17
1484.1904642420884;5
1497.6564967131344;20
1498.5596907098054;17
1504.7558890508176;17
1536.6268778880094;4
1538.7477747222943;25
1546.1413524101185;11
1548.9542055133948;70
1561.083180135191;4
1567.009170736311;3
1575.1213827917977;25
1586.1938817349378;8
1596.311328857758;11
1609.4271798851557;15
1615.7274415655604;7
1630.971689275128;9
1631.3295351930797;4
1647.9747455575387;9
1662.1959118792167;17
1662.5593037539397;12
1664.127069030297;8
1668.0082913808621;15
1672.6680834033848;6
1684.624304444985;17
1689.661797762879;52
1707.4611845830589;4
1727.3405182670376;11
1739.3350185388251;6
1787.0276150252519;737
1792.6453054906226;7
1811.1769228466615;10
1813.4088298757904;15
1824.0971706465652;2
1827.7260345045297;9
1829.0952971594972;11
1829.1356868363823;10
1842.9186317480592;14
1845.693910834948;3
1847.0141829814572;12
1854.5552328853607;10
1855.9180027863742;18
1861.3405599122539;29
1863.2440589384996;23
1879.5111306843287;7
1880.4905712999066;3
1885.2761223954935;3
1887.2388587087369;10
1895.69727221479;4
1897.2787458728358;6
1901.2581693100046;13
1913.3031667453113;10
1916.144700244758;41
1920.0314996872999;30
1926.7856119034175;17
1936.496243522505;5
1942.332170784479;17
1956.261231148881;13
1957.7031873350259;46
1961.0248401431586;12
1965.367892469059;5
1984.832000249693;14
1997.5856054222156;1
2022.8330474360384;15
2032.9007355895253;4
2035.2244980973871;11
2049.019972699575;7
2060.6098976475987;4
2063.311289186458;7
2073.022494020061;22
2084.472832064869;12
2086.0303854691656;12
2091.065174017553;15
2094.746261219774;15
2112.3481415868196;9
2125.358957565422;3
2137.609374303895;26
2139.158040082713;27
2147.3005520877477;7
2159.6490481649134;7
2166.647472343553;6
2169.832167620444;5
2169.9438223696698;7
2171.2118977620335;18
2181.3515254162567;5
2182.7615594830354;36
2191.7739631669256;5
2214.5019969943;3
2221.403378427501;5
2252.0834768776294;4
2261.3992530287305;9
2264.9241303338;27
2270.922807194654;7
2276.6863491305758;4
2280.951706494217;2
2280.967537461592;16
2282.7022119023363;1
2287.7401540781752;10
2305.3135704620886;4
2335.318668701848;21
2335.5850197956092;13
2336.4329760001315;5
2336.8938283754915;21
2336.950798208877;3
2346.9406768066824;18
2360.814509596245;467
2381.0558527883727;8
2383.664926164282;7
2387.4993397127573;11
2390.00576462748;4
2391.5837728462457;12
2397.414838902652;2
2398.4406279759987;7
2415.042632588074;27
2421.291031871244;5
2451.895998822953;6
2466.467240311395;38
2474.067039294247;5
2482.587500677403;3
2483.9399498725725;29
2523.625656469705;15
2557.880995372241;23
2574.452081901556;6
2578.5986792278513;42
2597.496407445547;3
2617.112138027252;4
2628.927696775612;10
2630.332299789633;16
2635.949324179472;12
2658.598801600172;9
2678.939647651738;217
2684.2195947955693;8
2689.0924122805436;6
2710.1552369496912;48
2729.0524596983814;3
2731.247624032317;15
2732.5748980860544;4
2746.656674870175;13
2748.800719487616;2
2750.3063799109514;32
2750.8649793479526;8
2762.130477564679;10
2769.1389836507724;8
2777.7304266096994;7
2782.926830834655;8
2821.732828506659;190
2827.0116742558043;14
2847.879652928001;12
2853.8429529725636;5
2858.430127360123;10
2865.5868994032217;15
2874.70244597169;8
2892.9211194966847;5
2904.6667795427234;9
2913.780623885313;2
2948.0425630751542;4
2954.3771454175962;41
2994.583283243279;8
3018.9759693285073;4
3044.3841758684666;27
3053.6325267003426;9
3063.0627051063034;11
3066.2063198393116;31
3094.2891276867886;15
3103.5367028693395;11
3133.9140636068914;2
3168.5505508621245;19
3240.1206639038596;6
3282.3039862773376;11
3303.0676535854636;8
3316.716472516772;2
3327.5237326929187;18
3345.6396668415814;10
3347.322903112035;14
3352.391906443672;5
3360.1973537705485;1
3367.910324215989;6
3370.994877234514;12
3374.381926617997;8
3381.946441673242;308
3396.669078255429;5
3398.856355156475;13
3423.15237057213;27
3435.5497668774133;9
3497.484323739499;11
3503.741593003747;3
3508.093111158288;4
3514.6483655233665;5
3583.9936243596208;40
3633.9733280877035;1
3659.087036893206;17
3743.7193431773917;39
3755.283058462852;127
3795.4028175578796;10
3799.6502569092804;1
3800.951686548206;2
3814.7254530662008;143
3814.8559372124187;14
3847.6613862101935;6
3848.486591611186;20
3860.7793257770936;35
3922.9259404114737;6
3961.1618209972116;1
4108.769836755997;117
4113.400536877231;28
4113.805937416744;11
4125.414643574993;2
4144.0537221313525;2
4319.728376160015;129
4368.059596662437;6
4466.707425812731;18
4492.0981796304095;2
4616.726619311362;68
4739.506386220381;25
4830.014062738714;20
4852.164781567429;22
5080.8412245237605;22
5401.144931421522;3
5450.454269062627;1
5543.082779536769;5
5673.467938284458;2
5769.104670282571;48
5792.28123357703;99
